carat,cut,color,clarity,x,y,z
0.81,2,2,2,6.01,6.06,3.71
0.5,0,2,0,5.08,4.97,3.21
0.31,2,0,7,4.43,4.46,2.67
1.52,0,5,3,7.19,7.22,4.66
0.35,3,0,6,4.55,4.53,2.76
0.36,2,2,2,4.59,4.62,2.83
1.02,2,4,3,6.43,6.47,4.03
0.5,3,0,3,5.06,5.01,3.17
1.01,3,3,0,6.41,6.35,3.93
1.92,4,1,3,7.85,7.92,4.93
0.5,2,6,4,5.06,5.09,3.17
0.9,2,2,2,6.16,6.21,3.85
0.54,2,1,5,5.2,5.23,3.23
0.36,2,3,1,4.59,4.57,2.82
0.42,2,1,3,4.77,4.81,2.99
0.38,2,1,2,4.67,4.64,2.86
0.72,2,3,5,5.75,5.79,3.58
0.7,3,2,3,5.64,5.6,3.52
0.34,4,2,7,4.48,4.52,2.78
0.52,4,4,2,5.06,5.13,3.19
0.42,2,3,5,4.85,4.82,2.94
1.6,3,2,3,7.57,7.53,4.61
0.4,4,2,2,4.66,4.7,2.91
0.9,4,0,3,6.14,6.18,3.76
0.8,4,2,3,5.93,5.98,3.66
1.2,3,5,3,6.82,6.76,4.26
0.31,2,3,7,4.33,4.35,2.69
0.35,2,2,5,4.58,4.54,2.8
0.7,3,2,7,5.68,5.61,3.53
0.7,4,2,2,5.64,5.7,3.54
0.54,2,3,4,5.21,5.26,3.24
1.71,4,4,4,7.64,7.68,4.75
0.75,3,3,7,5.84,5.78,3.63
1.2,3,5,7,6.71,6.63,4.2
0.2,2,1,5,3.86,3.84,2.3
0.23,3,1,4,3.91,3.95,2.43
1.11,2,3,4,6.64,6.67,4.1
0.82,3,1,3,6.05,6.03,3.67
0.5,3,2,5,5.06,5.1,3.16
1.58,4,5,4,7.5,7.56,4.64
0.57,3,0,5,5.38,5.35,3.24
2.43,2,5,3,8.54,8.61,5.34
1.12,3,3,4,6.61,6.58,4.1
0.7,0,3,0,5.5,5.47,3.58
0.58,2,4,2,5.33,5.36,3.31
0.35,2,4,7,4.5,4.48,2.83
0.85,2,1,2,6.1,6.14,3.78
0.32,3,4,4,4.44,4.4,2.68
2.13,0,4,3,8.09,8.01,5.19
2.26,2,5,3,8.36,8.44,5.17
2.05,3,6,4,8.25,8.19,4.94
1.22,1,5,4,7.01,6.95,4.13
0.3,2,3,4,4.33,4.31,2.67
1.03,3,4,4,6.43,6.47,4.03
0.54,2,3,5,5.21,5.24,3.23
0.31,1,3,5,4.28,4.3,2.71
0.41,3,4,2,4.81,4.77,2.96
1.7,1,3,4,7.53,7.64,4.82
0.73,4,4,2,5.74,5.77,3.61
0.57,4,5,2,5.29,5.27,3.34
0.41,2,0,5,4.74,4.77,2.93
1.29,2,4,2,6.99,6.95,4.31
0.23,1,2,5,3.93,3.84,2.48
1.5,0,3,2,7.15,7.09,4.59
0.9,2,2,2,6.19,6.16,3.81
0.41,2,2,2,4.77,4.8,2.94
0.53,3,4,2,5.22,5.1,3.16
2.25,3,5,2,8.55,8.51,5.13
1.1,3,0,2,6.66,6.69,4.03
1.01,1,5,5,6.3,6.21,3.98
1.25,1,5,3,6.81,6.77,4.34
0.71,3,0,2,5.75,5.73,3.52
0.3,4,3,2,4.31,4.34,2.6
0.31,2,0,5,4.38,4.44,2.69
0.9,3,5,5,6.16,6.12,3.87
0.31,2,0,5,4.3,4.34,2.71
1.25,2,5,4,6.91,6.95,4.27
0.32,2,2,4,4.45,4.48,2.72
0.83,2,4,6,6.02,6.07,3.73
0.46,2,5,5,4.95,4.91,3.07
1.01,1,3,3,6.35,6.41,3.78
1.0,0,3,2,6.22,6.18,4.01
0.52,2,1,4,5.18,5.22,3.19
0.34,4,3,2,4.45,4.52,2.76
0.31,1,6,4,4.29,4.34,2.67
0.51,3,2,7,5.17,5.15,3.12
0.61,1,1,5,5.41,5.48,3.31
0.55,2,1,5,5.26,5.25,3.26
1.0,0,5,2,6.31,6.24,4.13
0.66,1,2,5,5.55,5.6,3.43
0.38,2,2,0,4.61,4.64,2.89
2.0,3,4,0,8.19,8.02,4.85
0.58,2,2,7,5.34,5.29,3.32
1.24,2,6,5,6.91,6.96,4.28
1.77,4,5,5,7.88,7.83,4.73
1.12,4,3,0,6.68,6.59,4.05
0.7,3,0,3,5.8,5.74,3.49
